;model_paths;pruning_type;model_type;gpd_base;seed;finetuned;dataset;metric;metric_used
80;models/CIFAR10\VGG16_CIFAR10_random_PD1_GPD-50_PRUNED_FT_SEED_112.pth;random;PD1;50;112;True;CIFAR10;92.61;accuracy
81;models/CIFAR10\VGG16_CIFAR10_random_PD1_GPD-50_PRUNED_FT_SEED_167.pth;random;PD1;50;167;True;CIFAR10;92.69;accuracy
82;models/CIFAR10\VGG16_CIFAR10_random_PD1_GPD-50_PRUNED_FT_SEED_23.pth;random;PD1;50;23;True;CIFAR10;92.27;accuracy
83;models/CIFAR10\VGG16_CIFAR10_random_PD1_GPD-50_PRUNED_FT_SEED_42.pth;random;PD1;50;42;True;CIFAR10;92.86;accuracy
84;models/CIFAR10\VGG16_CIFAR10_random_PD1_GPD-50_PRUNED_FT_SEED_97.pth;random;PD1;50;97;True;CIFAR10;92.33;accuracy
85;models/CIFAR10\VGG16_CIFAR10_random_PD1_GPD-50_PRUNED_SEED_112.pth;random;PD1;50;112;False;CIFAR10;10;accuracy
86;models/CIFAR10\VGG16_CIFAR10_random_PD1_GPD-50_PRUNED_SEED_167.pth;random;PD1;50;167;False;CIFAR10;10;accuracy
87;models/CIFAR10\VGG16_CIFAR10_random_PD1_GPD-50_PRUNED_SEED_23.pth;random;PD1;50;23;False;CIFAR10;10;accuracy
88;models/CIFAR10\VGG16_CIFAR10_random_PD1_GPD-50_PRUNED_SEED_42.pth;random;PD1;50;42;False;CIFAR10;10;accuracy
89;models/CIFAR10\VGG16_CIFAR10_random_PD1_GPD-50_PRUNED_SEED_97.pth;random;PD1;50;97;False;CIFAR10;10;accuracy
90;models/CIFAR10\VGG16_CIFAR10_random_PD5_GPD-20_PRUNED_FT_SEED_112.pth;random;PD5;20;112;True;CIFAR10;94.01;accuracy
91;models/CIFAR10\VGG16_CIFAR10_random_PD5_GPD-20_PRUNED_FT_SEED_167.pth;random;PD5;20;167;True;CIFAR10;94.26;accuracy
92;models/CIFAR10\VGG16_CIFAR10_random_PD5_GPD-20_PRUNED_FT_SEED_23.pth;random;PD5;20;23;True;CIFAR10;94.29;accuracy
93;models/CIFAR10\VGG16_CIFAR10_random_PD5_GPD-20_PRUNED_FT_SEED_42.pth;random;PD5;20;42;True;CIFAR10;94.34;accuracy
94;models/CIFAR10\VGG16_CIFAR10_random_PD5_GPD-20_PRUNED_FT_SEED_97.pth;random;PD5;20;97;True;CIFAR10;94.42;accuracy
95;models/CIFAR10\VGG16_CIFAR10_random_PD5_GPD-20_PRUNED_SEED_112.pth;random;PD5;20;112;False;CIFAR10;9.96;accuracy
96;models/CIFAR10\VGG16_CIFAR10_random_PD5_GPD-20_PRUNED_SEED_167.pth;random;PD5;20;167;False;CIFAR10;9.96;accuracy
97;models/CIFAR10\VGG16_CIFAR10_random_PD5_GPD-20_PRUNED_SEED_23.pth;random;PD5;20;23;False;CIFAR10;10;accuracy
98;models/CIFAR10\VGG16_CIFAR10_random_PD5_GPD-20_PRUNED_SEED_42.pth;random;PD5;20;42;False;CIFAR10;10;accuracy
99;models/CIFAR10\VGG16_CIFAR10_random_PD5_GPD-20_PRUNED_SEED_97.pth;random;PD5;20;97;False;CIFAR10;10;accuracy
